Doc Type|Doc No.|Mainterm|CAS RN or Other Code|Regnum
EAF|3481|(+/-)-1-ACETOXY-1-ETHOXYETHANE|1608-72-6|
EAF|1625|4-(P-ACETOXYPHENYL)-2-BUTANONE|3572-06-3|
EAF|3693|5-ACETYL-2,3-DIHYDRO-1,4-THIAZINE|164524-93-0|
EAF|3483|2-ACETYL-3,5-DIMETHYLFURAN|22940-86-9|
ASP|0011|3-ACETYL-2,5-DIMETHYLFURAN|10599-70-9|
EAF|3482|4-ACETYL-2,5-DIMETHYL-3(2H)-FURANONE|36871-78-0|
ASP|0012|2-ACETYL-3, 5(OR 6)-DIMETHYLPYRAZINE, MIXTURE OF ISOMERS|977043-63-2|
ASP|0014|2-ACETYL-3-ETHYLPYRAZINE|32974-92-8|
EAF|4027|4-ACETYL-2-ISOPROPENYLPYRIDINE|142896-12-6|
EAF|4026|2-ACETYL-4-ISOPROPENYLPYRIDINE|142896-11-5|
EAF|4028|2-ACETYL-4-ISOPROPYLPYRIDINE|142896-09-1|
EAF|3246|3-ACETYLMERCAPTOHEXYL ACETATE|136954-25-1|
ASP|1582|N-ACETYL-L-METHIONINE|65-82-7|172.372
ASP|0015|ACETYL METHYL CARBINYL ACETATE|4906-24-5|
ASP|0016|2-ACETYL-5-METHYLFURAN|1193-79-9|
EAF|3401|2-ACETYL-3-METHYLPYRAZINE|23787-80-6|
NIL|1626|4-ACETYL-2-METHYLPYRIMIDINE|67860-38-2|
EAF|4033|2-ACETYL-5-METHYLTHIOPHENE|13679-74-8|
ASP|0017|ACETYLPYRAZINE|22047-25-2|
ASP|0018|2-ACETYLPYRIDINE|1122-62-9|
ASP|0019|3-ACETYLPYRIDINE|350-03-8|
EAF|3646|2-ACETYL-1-PYRROLINE|99583-29-6|
ASP|0010|4-ACETYL-6-TERT-BUTYL-1,1-DIMETHYLINDANE|13171-00-1|
ASP|0020|2-ACETYLTHIAZOLE|24295-03-2|
EAF|3247|2-ACETYL-2-THIAZOLINE|29926-41-8|
EAF|3410|3-(ACETYLTHIO)-2-METHYLFURAN|55764-25-5|
EAF|1627|ACONITIC ACID|499-12-7|184.1007
NUL|1628|ACROLEIN|107-02-8|172.892,176.300
ASP|0565|3-(2-FURYL)ACROLEIN|623-30-3|
ASP|0021|ACRYLAMIDE-ACRYLIC ACID RESIN|9003-06-9|173.5,175.105,176.110,176.180
NIL|0022|ACRYLAMIDE-SODIUM ACRYLATE RESIN|25085-02-3|172.710,173.310,173.5
NUL|2957|ACRYLIC ACID-2-ACRYLAMIDO-2-METHYL PROPANE SULFONIC ACID COPOLYMER|40623-75-4|173.310,176.170
ASP|1846|ACTIVATED CARBON|64365-11-3|177.1210
ASP|1610|ADIPIC ACID|124-04-9|175.300,175.320,176.170,176.180,177.1200,177.1390,177.1500,177.1630,177.1680,177.2420,177.2600,184.1009
NUL|1629|ADIPIC ANHYDRIDE|2035-75-8|172.892
EAF|4100|ADVANTAME|714229-20-6|
ASP|1630|AGAR (GELIDIUM SPP.)|9002-18-0|150.141,150.161,184.1115
EAF|4056|ALPHA-BISABOLOL|515-69-5|
ASP|2995|DL-ALANINE|302-72-7|172.540
ASP|0024|L-ALANINE|56-41-7|172.320
ASP|0023|BETA-ALANINE|107-95-9|
EAF|4096|L-ALANYL-L-GLUTAMINE|39537-23-0|
ASP|1631|ALBUMIN|977005-72-3|133.124,166.110
NUL|1632|ALCOHOL, DENATURED FORMULA 23A|977021-64-9|73.1
NUL|1633|ALCOHOL SDA-3A|977021-59-2|73.1
ASP|1634|ALFALFA, EXTRACT (MEDICAGO SATIVA L.)|84082-36-0|182.20
ASP|1635|ALFALFA, HERB AND SEED (MEDICAGO SATIVA L.)|977092-93-5|182.10
NUL|1636|ALGAE, BROWN, EXTRACT (MACROCYSTIS AND LAMINARIA SPP.)|977161-38-8|184.1120
EAF|1639|ALGAE, RED (PORPHYRA SPP. AND GLOIOPELTIS FURCATA AND RHODYMENIA PALMATA (L.))|977007-74-1|184.1121
NUL|1638|ALGAE, RED, EXTRACT (PORPHYRA SPP. AND GLOIOPELTIS FURCATA AND RHODYMENIA PALMATA (L.))|977090-04-2|184.1121
ASP|1640|ALGINATE, AMMONIUM|9005-34-9|173.310,178.3900,184.1133
ASP|1641|ALGINATE, CALCIUM|9005-35-0|184.1187
ASP|1642|ALGINATE, POTASSIUM|9005-36-1|184.1610
ASP|1643|ALGINATE, SODIUM|9005-38-3|133.178,133.179,150.141,150.161,173.310,184.1724
ASP|1644|ALGINATE, SODIUM CALCIUM|12698-40-7|
ASP|1645|ALGINIC ACID|9005-32-7|184.1011
NUL|1646|ALKANET ROOT, EXTRACT (ALKANNA TINCTORIA TAUSCH)|23444-65-7|
ASP|1585|ALKANOLAMIDE OF COCONUT OIL FATTY ACIDS AND DIETHANOLAMINE|68603-42-9|173.322,176.180,176.210,177.2800
NIL|0025|ALKYLENE OXIDE ADDUCTS OF ALKYL ALCOHOLS/PHOSPHATE ESTERS OF SAME, MIXTURE|977043-74-5|173.315
NIL|1647|N-ALKYL(C8-C18 FROM COCONUT OIL) AMINE ACETATE|977075-63-0|172.710
ASP|1584|ALPHA-ALKYL-OMEGA-HYDROXY-POLY(OXYETHYLENE)|977044-31-7|173.322
ASP|1650|ALLSPICE (PIMENTA OFFICINALIS LINDL.)|977051-72-1|101.22,182.10
ASP|1648|ALLSPICE, OIL (PIMENTA OFFICINALIS LINDL.)|8006-77-7|182.20
ASP|1649|ALLSPICE, OLEORESIN (PIMENTA OFFICINALIS LINDL.)|977017-87-0|182.20
ASP|0041|ALLYL ALPHA-IONONE|79-78-7|172.515
ASP|0026|ALLYL ANTHRANILATE|7493-63-2|172.515
ASP|0027|ALLYL BUTYRATE|2051-78-7|172.515
ASP|0028|ALLYL CINNAMATE|1866-31-5|172.515
ASP|0029|ALLYL CROTONATE|20474-93-5|
ASP|0030|ALLYL CYCLOHEXANEACETATE|4728-82-9|172.515
ASP|0031|ALLYL CYCLOHEXANEBUTYRATE|7493-65-4|172.515
ASP|0032|ALLYL CYCLOHEXANEHEXANOATE|7493-66-5|172.515
ASP|0033|ALLYL CYCLOHEXANEPROPIONATE|2705-87-5|172.515
ASP|0034|ALLYL CYCLOHEXANEVALERATE|7493-68-7|172.515
EAF|3718|S-ALLYL-L-CYSTEINE|21593-77-1|
NIL|1651|4-ALLYL-2,6-DIMETHOXYPHENOL|6627-88-9|
ASP|0035|ALLYL DISULFIDE|2179-57-9|172.515
ASP|0036|ALLYL 2-ETHYLBUTYRATE|7493-69-8|172.515
ASP|0037|ALLYL 2-FUROATE|4208-49-5|
ASP|0038|ALLYL HEPTANOATE|142-19-8|
ASP|0039|ALLYL HEXANOATE|123-68-2|172.515
ASP|0040|ALLYL HEXENOATE|977075-30-1|
ASP|0042|ALLYL ISOTHIOCYANATE|57-06-7|172.515
ASP|0043|ALLYL ISOVALERATE|2835-39-4|172.515
ASP|0044|ALLYL MERCAPTAN|870-23-5|172.515
ASP|0045|ALLYL METHYL DISULFIDE|2179-58-0|
NIL|0046|ALLYL METHYL TRISULFIDE|34135-85-8|
ASP|0047|ALLYL NONANOATE|7493-72-3|172.515
ASP|0048|ALLYL OCTANOATE|4230-97-1|172.515
EAF|3486|4-ALLYLPHENOL|501-92-8|
ASP|0049|ALLYL PHENOXYACETATE|7493-74-5|172.515
ASP|0050|ALLYL PHENYLACETATE|1797-74-6|172.515
ASP|0051|ALLYL PROPIONATE|2408-20-0|172.515
EAF|3484|ALLYL PROPYL DISULFIDE|2179-59-1|
ASP|0052|ALLYL SORBATE|7493-75-6|172.515
ASP|0053|ALLYL SULFIDE|592-88-1|172.515
EAF|3487|ALLYL THIOHEXANOATE|156420-69-8|
ASP|0054|ALLYL THIOPROPIONATE|41820-22-8|
ASP|0055|ALLYL TIGLATE|7493-71-2|172.515
ASP|0056|ALLYL 10-UNDECENOATE|7493-76-7|172.515
EAF|3485|ALLYL VALERATE|6321-45-5|
ASP|1653|ALMOND, BITTER, OIL (FFPA) (PRUNUS SPP.)|8013-76-1|182.20
ASP|1654|ALOE, EXTRACT (ALOE SPP.)|84837-08-1|172.510
ASP|0069|ALPHA-AMYLCINNAMYL ISOVALERATE|7493-80-3|172.515
NIL|0426|ALPHA-ETHYL BENZYL BUTYRATE|10031-86-4|172.515
EAF|3245|ALPHA-HYDRO-OMEGA-HYDROXY POLY(OXYETHYLENE) POLY(OXYPROPYLENE) POLY(OXYETHYLENE) (15 MOLE MINIMUM) BLOCKED COPOLYMER, LOW ERUCIC ACID RAPESEED OIL POLYMERS|977174-28-9|173.340
ASP|0765|ALPHA-ISOBUTYLPHENETHYL ALCOHOL|7779-78-4|172.515
ASP|0904|ALPHA-METHYLBENZYL BUTYRATE|3460-44-4|172.515
ASP|0907|ALPHA-METHYLBENZYL ISOBUTYRATE|7775-39-5|172.515
ASP|2965|ALPHA-TOCOPHEROL ACID SUCCINATE|4345-03-3|
NUL|1655|ALTHEA FLOWERS (ALTHEA OFFICINALIS L.)|977052-71-3|172.510
ASP|1656|ALTHEA ROOT (ALTHEA OFFICINALIS L.)|977005-75-6|172.510
NUL|1657|ALUM (DOUBLE SULFATE OF AL AND NH4, K, OR NA)|977007-61-6|178.3120,179.45,182.90
ASP|1658|ALUMINUM AMMONIUM SULFATE|7784-26-1|182.1127,182.90
NIL|1659|ALUMINUM CALCIUM SILICATE|1327-39-5|169.179,182.2122
NUL|1660|ALUMINUM CAPRATE|22620-93-5|172.863,175.300
NUL|1661|ALUMINUM CAPRYLATE|6028-57-5|172.863,175.300
ASP|1662|ALUMINUM HYDROXIDE|21645-51-2|175.300,176.170,176.210,177.1200,177.2600,178.3297,182.90,73.1010
NUL|1663|ALUMINUM LAURATE|7230-93-5|172.863,175.300
NUL|1664|ALUMINUM MYRISTATE|4040-50-0|172.863
NIL|0057|ALUMINUM NICOTINATE|1976-28-9|172.310
NUL|1665|ALUMINUM OLEATE|688-37-9|172.863,175.300,182.90
NUL|1666|ALUMINUM PALMITATE|555-35-1|172.863,175.300,182.90
ASP|1667|ALUMINUM POTASSIUM SULFATE|7784-24-9|133.102,133.106,133.111,133.141,133.165,133.181,133.183,133.195,137.105,182.1129,182.90
ASP|1668|ALUMINUM SALTS OF FATTY ACIDS|977089-51-2|172.863,175.105,175.320,176.200,177.1200
ASP|1669|ALUMINUM SODIUM SULFATE|7784-28-3|175.105,182.1131,182.90
NUL|1670|ALUMINUM STEARATE|637-12-7|172.863,173.340,175.210,175.300,176.170,177.2800,178.3297,179.45,181.29
ASP|1671|ALUMINUM SULFATE|10043-01-3|172.892,182.1125
EAF|1672|AMBERGRIS, TINCTURE|977023-08-7|182.50
ASP|1673|AMBRETTE, ABSOLUTE, OIL (HIBISCUS ABELMOSCHUS L.)|977017-79-0|182.20
ASP|1674|AMBRETTE SEED (HIBISCUS ABELMOSCHUS L.)|977052-20-2|182.10
ASP|1675|AMBRETTE SEED, OIL (HIBISCUS ABELMOSCHUS L.)|8015-62-1|182.20
ASP|1676|AMBRETTE, TINCTURE (HIBISCUS ABELMOSCHUS L.)|977017-78-9|182.20
EAF|3398|1-AMINO-2-PROPANOL|78-96-6|175.105,176.170,176.180,176.210
EAF|3199|2'-AMINOACETOPHENONE|551-93-9|
NUL|1677|P-AMINOBENZOIC ACID|150-13-0|
EAF|3685|4-AMINOBUTYRIC ACID|56-12-2|
ASP|0058|DL-(3-AMINO-3-CARBOXYPROPYL)DIMETHYLSULFONIUM CHLORIDE|3493-12-7|
EAF|4059|4-AMINO-5,6-DIMETHYLTHIENO[2,3-D]PYRIMIDIN-2(1H)-ONE|121746-18-7|
EAF|3621|4-AMINO-5,6-DIMETHYLTHIENO[2,3-D]PYRIMIDIN-2(1H)-ONE HYDROCHLORIDE|1033366-59-4|
EAF|4089|3-[(4-AMINO-2,2-DIOXIDO-1H-2,1,3-BENZOTHIADIAZIN-5-YL)OXY]-2,2-DIMETHYL-N-PROPYLPROPANAMIDE|1093200-92-0|
EAF|3038|AMINOGLYCOSIDE 3'-PHOSPHOTRANSFERASE II|58943-39-8|173.170
EAF|3035|AMINOPEPTIDASE FROM LACTOCOCCUS LACTIS|977172-57-8|184.1985
NUL|1678|AMINO TRI(METHYLENE PHOSPHONIC ACID), SODIUM SALT|20592-85-2|
EAF|3886|AMMONIA (ALSO INCLUDES AMMONIUM CHLORIDE)|977188-02-5|
ASP|1679|AMMONIUM ACETATE|631-61-8|
ASP|1680|AMMONIUM BICARBONATE|1066-33-7|163.110,163.111,163.112,184.1135,73.85
ASP|1681|AMMONIUM CARBONATE|8000-73-5|163.110,163.111,163.112,184.1137,73.85
NUL|0059|AMMONIUM CASEINATE|9005-42-9|135.110,135.140
ASP|1682|AMMONIUM CHLORIDE|12125-02-9|178.1010,184.1138
ASP|1683|AMMONIUM CITRATE, DIBASIC|3012-65-5|175.105,175.300,175.380,175.390,177.1350,181.29,184.1140
NUL|1684|AMMONIUM GLUCONATE|2554-04-3|
ASP|1685|AMMONIUM HYDROXIDE|1336-21-6|163.110,163.111,163.112,177.1600,184.1139,73.85
ASP|0060|AMMONIUM ISOVALERATE|7563-33-9|172.515
EAF|3096|AMMONIUM PECTINATE|83046-90-6|184.1588
ASP|1686|AMMONIUM PERSULFATE|7727-54-0|172.892,175.105,176.170,177.1200,178.3520
ASP|1687|AMMONIUM PHOSPHATE, DIBASIC|7783-28-0|184.1141B,573.320,73.85
ASP|1688|AMMONIUM PHOSPHATE, MONOBASIC|7722-76-1|184.1141A,73.85
ASP|1689|AMMONIUM SULFATE|7783-20-2|177.1200,184.1143,73.85
ASP|0061|AMMONIUM SULFIDE|12135-76-1|172.515
EAF|3072|AMMONIUM SULFITE|10196-04-0|73.85
ASP|0062|AMYL ALCOHOL|71-41-0|172.515,176.180,176.210
EAF|3034|ALPHA-AMYLASE ENZYME PREPARATION FROM BACILLUS STEAROTHERMOPHILUS|98002-53-0|184.1012
ASP|1690|AMYLASE FROM ASPERGILLUS FLAVUS|977032-05-5|
ASP|1691|AMYLASE FROM ASPERGILLUS NIGER|977031-46-1|
ASP|1692|AMYLASE FROM ASPERGILLUS ORYZAE|977082-95-3|137.105,137.200
ASP|1693|AMYLASE FROM BACILLUS SUBTILIS|977028-31-1|
ASP|0063|AMYL BUTYRATE|540-18-1|172.515
ASP|0064|ALPHA-AMYLCINNAMALDEHYDE|122-40-7|172.515
ASP|0065|ALPHA-AMYLCINNAMALDEHYDE DIMETHYL ACETAL|91-87-2|172.515
ASP|0066|ALPHA-AMYLCINNAMYL ACETATE|7493-78-9|172.515
ASP|0067|ALPHA-AMYLCINNAMYL ALCOHOL|101-85-9|172.515
ASP|0068|ALPHA-AMYLCINNAMYL FORMATE|7493-79-0|172.515
NIL|0070|AMYL DECANOATE|5933-87-9|
ASP|0071|AMYL FORMATE|638-49-3|172.515
ASP|0072|AMYL 2-FUROATE|4996-48-9|
ASP|0073|AMYL HEPTANOATE|7493-82-5|172.515
ASP|0074|AMYL HEXANOATE|540-07-8|172.515
EAF|3810|AMYL ISOTHIOCYANATE|629-12-9|
EAF|3435|AMYL METHYL DISULFIDE|72437-68-4|
ASP|0076|AMYL OCTANOATE|638-25-5|172.515
ASP|1694|AMYLOGLUCOSIDASE FROM RHIZOPUS NIVEUS|977080-40-2|173.110
ASP|0075|2-AMYL-5 OR 6-KETO-1,4-DIOXANE|65504-96-3|
NIL|2971|AMYL SALICYLATE|2050-08-0|
EAF|1695|AMYRIS (AMYRIS BALSAMIFERA L.)|977059-69-0|172.510
ASP|1696|AMYRIS, OIL (AMYRIS BALSAMIFERA L.)|8015-65-4|172.510
EAF|3897|(2,4)- AND (3,5)- AND (3,6)-DIMETHYL-3-CYCLOHEXENYLCARBALDEHYDE|27939-60-2|
ASP|0077|TRANS-ANETHOLE|4180-23-8|182.60
EAF|3097|ANGELICA (ANGELICA SPP.)|977050-05-7|182.10
EAF|3830|BETA-ANGELICALACTONE|591-11-7|
EAF|1697|ANGELICA ROOT (ANGELICA SPP.)|977050-06-8|182.10
EAF|1698|ANGELICA ROOT, EXTRACT (ANGELICA ARCHANGELICA L.)|977032-49-7|182.20
EAF|1699|ANGELICA ROOT, OIL (ANGELICA ARCHANGELICA L.)|8015-64-3|182.20
EAF|1700|ANGELICA SEED (ANGELICA SPP.)|977050-07-9|182.10
EAF|1701|ANGELICA SEED, EXTRACT (ANGELICA ARCHANGELICA L.)|977032-50-0|182.20
EAF|1702|ANGELICA SEED, OIL (ANGELICA ARCHANGELICA L.)|977050-08-0|182.20
NIL|1703|ANGELICA STEM, OIL (ANGELICA ARCHANGELICA L.)|977032-48-6|182.20
NUL|1704|ANGOLA WEED (ROCCELLA FUCIFORMIS ACH.)|977038-44-0|172.510
NUL|1706|ANGOSTURA (GALIPEA OFFINCINALIS HANCOCK)|977000-22-8|182.10
ASP|1705|ANGOSTURA, EXTRACT (GALIPEA OFFICINALIS HANCOCK)|68916-12-1|182.20
EAF|4017|ANISALDEHYDE PROPYLENEGLYCOL ACETAL|6414-32-0|
ASP|1708|ANISE (PIMPINELLA ANISUM L.)|977007-65-0|101.22,182.10
ASP|1707|ANISE, OIL (PIMPINELLA ANISUM L.)|8007-70-3|182.20
ASP|1709|ANISE, STAR (ILLICIUM VERUM HOOK, F.)|977052-16-6|101.22,182.10
ASP|1710|ANISE, STAR, OIL (ILLICIUM VERUM HOOK, F.)|68952-43-2|
EAF|2970|ANISIC ACID|1335-08-6|
ASP|0078|ANISOLE|100-66-3|172.515
ASP|0079|ANISYL ACETATE|104-21-2|172.515
ASP|0080|ANISYL ALCOHOL|105-13-5|172.515
ASP|0081|ANISYL BUTYRATE|6963-56-0|172.515
ASP|0082|ANISYL FORMATE|122-91-8|172.515
ASP|0083|ANISYL PHENYLACETATE|102-17-0|172.515
ASP|0084|ANISYL PROPIONATE|7549-33-9|172.515
ASP|0085|ANNATTO, EXTRACT (BIXA ORELLANA L.)|1393-63-1|73.1030,73.2030,73.30
ASP|1711|ANNATTO, SEED (BIXA ORELLANA L.)|977157-28-0|
EAF|3078|ANOXOMER|60837-57-2|172.105
NUL|1712|ANTHRACITE COAL, SULFONATED|69013-20-3|173.25
ASP|0086|BETA-APO-8'-CAROTENAL|1107-26-2|73.90
ASP|1713|APPLE ESSENCE, NATURAL|977090-73-5|
ASP|1715|APRICOT KERNEL, OIL (PRUNUS ARMENIACA L.)|72869-69-3|182.20,182.40
ASP|0087|ARABINOGALACTAN|9036-66-2|172.230,172.610
ASP|0088|L-ARABINOSE|5328-37-0|
ASP|0089|L-ARGININE|74-79-3|172.320
EAF|1716|ARNICA FLOWERS (ARNICA SPP.)|977000-27-3|172.510
ASP|3020|ARROWROOT STARCH|977000-09-1|
NIL|1717|ARTEMISIA (ARTEMISIA SPP.)|977052-73-5|172.510
NIL|1718|ARTEMISIA EXTRACT|977032-37-3|172.510
EAF|1719|ARTEMISIA OIL|8008-93-3|172.510
EAF|1720|ARTICHOKE LEAVES (CYNARA SCOLYMUS L.)|977038-45-1|172.510
EAF|1721|ASAFETIDA, FLUID EXTRACT (FERULA ASSAFOETIDA L.)|977038-46-2|182.20
EAF|1722|ASAFETIDA, GUM (FERULA ASSAFOETIDA L.)|9000-04-8|182.20
ASP|1723|ASAFETIDA, OIL (FERULA ASSAFOETIDA L.)|72869-70-6|182.20
ASP|1611|ASCORBIC ACID|50-81-7|101.14,101.9,107.100,137.105,137.200,145.110,145.115,145.135,145.170,146.185,146.187,150.141,150.161,155.200,155.201,161.175,172.280,182.3013,182.8013
ASP|1724|ASCORBYL PALMITATE|137-66-6|166.110,182.3149
NIL|0090|ASCORBYL STEARATE|25395-66-8|166.110
ASP|0091|L-ASPARAGINE|70-47-3|172.320
ASP|1725|ASPARAGUS, SEED AND ROOT, EXTRACT|977082-96-4|
ASP|1572|ASPARTAME|22839-47-0|172.804
ASP|0092|L-ASPARTIC ACID|56-84-8|172.320
NUL|1726|ASPERGILLUS NIGER FOR FERMENTATION PRODUCTION OF CITRIC ACID|9001-23-4|173.280
EAF|3026|ASTAXANTHIN|472-61-7|73.35
NIL|0093|AZODICARBONAMIDE|123-77-3|136.110,137.105,137.200,172.806,177.1210,177.2600,178.3010
NUL|1727|BACTERIAL CATALASE FROM MICROCOCCUS LYSODEIKTICUS|977050-35-3|173.135
ASP|2929|BAKERS YEAST EXTRACT|8013-01-2|184.1983
ASP|0094|BAKER'S YEAST GLYCAN|977014-12-2|172.898
ASP|0095|BAKER'S YEAST PROTEIN|977014-13-3|172.325
NIL|1730|BALM (MELISSA OFFICINALIS L.)|977051-08-3|182.10
NUL|1729|BALM LEAVES (MELISSA OFFICINALIS L.)|977090-74-6|182.10
EAF|1728|BALM LEAVES, EXTRACT (MELISSA OFFICINALIS L.)|84082-61-1|182.20
EAF|1731|BALM, OIL (MELISSA OFFICINALIS L.)|8014-71-9|182.20
ASP|3080|FIR, BALSAM, NEEDLES AND TWIGS (ABIES BALSAMEA (L.) MILL.)|977107-97-3|172.510
ASP|1732|BALSAM FIR, OIL (ABIES BALSAMEA (L.) MILL.)|8024-15-5|
ASP|1733|BALSAM FIR, OLEORESIN (ABIES BALSAMEA (L.) MILL.)|977017-81-4|
ASP|1734|BALSAM, PERU (MYROXYLON PEREIRAE KLOTZSCH)|8007-00-9|
ASP|1735|BALSAM, PERU, OIL (MYROXYLON PEREIRAE KLOTZSCH)|977136-92-7|182.20
ASP|1741|BASIL (OCIMUM BASILICUM L.)|977050-14-8|182.10
ASP|1740|BASIL BUSH (OCIMUM MINIMUM L.)|977051-55-0|101.22,182.10
EAF|3101|BASIL, EXTRACT (OCIMUM BASILICUM L.)|84775-71-3|182.20
ASP|1742|BASIL, OIL (OCIMUM BASILICUM L.)|8015-73-4|182.20
ASP|1743|BASIL, OLEORESIN (OCIMUM BASILICUM L.)|977017-82-5|182.20
ASP|1744|BAY (LAURUS NOBILIS L.)|977050-15-9|101.22,139.110,139.150,182.10
ASP|1745|BAY LEAVES, SWEET, EXTRACT (LAURUS NOBILIS L.)|84603-73-6|182.20
ASP|1746|BAY LEAVES, SWEET, OIL (LAURUS NOBILIS L.)|8007-48-5|182.20
ASP|1747|BAY LEAVES, WEST INDIAN, EXTRACT (PIMENTA ACRIS KOSTEL)|977090-77-9|
ASP|1748|BAY LEAVES, WEST INDIAN, OIL (PIMENTA RACEMOSA (MILL.) J.W. MOORE)|8006-78-8|182.20
ASP|1749|BAY LEAVES, WEST INDIAN, OLEORESIN (PIMENTA ACRIS KOSTEL)|977090-78-0|
ASP|0096|BEECHWOOD, CREOSOTE (FAGUS SPP.)|8021-39-4|172.515
ASP|1752|BEESWAX|8012-89-3|101.4,184.1973
ASP|1753|BEESWAX, BLEACHED|8006-40-4|184.1973
ASP|1754|BENTONITE|1302-78-9|175.105,175.300,176.170,178.3297,184.1155
ASP|0097|BENZALDEHYDE|100-52-7|182.60
ASP|0098|BENZALDEHYDE DIMETHYL ACETAL|1125-88-8|172.515
ASP|0099|BENZALDEHYDE GLYCERYL ACETAL|1319-88-6|172.515
ASP|0100|BENZALDEHYDE PROPYLENE GLYCOL ACETAL|2568-25-4|172.515
NUL|1589|BENZENE|71-43-2|172.560,175.105
ASP|0101|BENZENETHIOL|108-98-5|172.515
ASP|0102|2-BENZOFURANCARBOXALDEHYDE|4265-16-1|
ASP|1590|BENZOIC ACID|65-85-0|150.141,150.161,166.110,175.300,177.1390,184.1021
ASP|0103|BENZOIN|119-53-9|172.515,73.1
ASP|0104|BENZOIN, RESIN (STYRAX SPP.)|9000-05-9|172.510
ASP|0105|BENZOPHENONE|119-61-9|172.515,177.2600
ASP|0106|BENZOTHIAZOLE|95-16-9|
EAF|3488|N-BENZOYLANTHRANILIC ACID|579-93-1|
ASP|1755|BENZOYL PEROXIDE|94-36-0|133.102,133.106,133.111,133.141,133.165,133.181,133.183,133.195,137.105,172.814,175.105,176.170,177.2420,177.2600,184.1157
ASP|0107|BENZYL ACETATE|140-11-4|172.515
ASP|0108|BENZYL ACETOACETATE|5396-89-4|172.515
ASP|0109|BENZYL ALCOHOL|100-51-6|172.515,175.105,175.300,177.1210,73.1001
ASP|0110|BENZYL BENZOATE|120-51-4|172.515,175.105
ASP|0111|BENZYL BUTYL ETHER|588-67-0|172.515
ASP|0112|BENZYL BUTYRATE|103-37-7|172.515
ASP|0113|BENZYL CINNAMATE|103-41-3|172.515
ASP|0114|BENZYL 2,3-DIMETHYLCROTONATE|7492-69-5|172.515
ASP|0115|BENZYL DISULFIDE|150-60-7|172.515
NIL|0116|BENZYL ETHYL ETHER|539-30-0|172.515
ASP|0117|BENZYL FORMATE|104-57-4|172.515
ASP|0118|3-BENZYL-4-HEPTANONE|7492-37-7|172.515
EAF|3436|BENZYL HEXANOATE|6938-45-0|
ASP|0119|BENZYL ISOBUTYRATE|103-28-6|172.515
EAF|3821|BENZYL ISOTHIOCYANATE|622-78-6|
ASP|0120|BENZYL ISOVALERATE|103-38-8|172.515
EAF|4013|BENZYL LEVULINATE|6939-75-9|
ASP|0121|BENZYL MERCAPTAN|100-53-8|172.515
ASP|0122|BENZYL METHOXYETHYL ACETAL|7492-39-9|172.515
ASP|0123|BENZYL TRANS-2-METHYL-2-BUTENOATE|37526-88-8|
ASP|0124|BENZYL METHYL SULFIDE|766-92-7|
EAF|4016|BENZYL NONANOATE|6471-66-5|
ASP|0125|BENZYL PHENYLACETATE|102-16-9|172.515
